备用供应商选择,备用供应商选择->动态需求感知,备用供应商选择->供应商韧性评估,备用供应商选择.depth==0
动态需求感知,动态需求感知->实时供应链数据融合,动态需求感知.depth==1
实时供应链数据融合,实时供应链数据融合->流式计算引擎,实时供应链数据融合.depth==2
流式计算引擎,流式计算引擎->CEP复杂事件处理,流式计算引擎.depth==3
CEP复杂事件处理,CEP复杂事件处理->事件模式匹配,CEP复杂事件处理.depth==4
事件模式匹配,事件模式匹配->弹性规则引擎,事件模式匹配.depth==5
弹性规则引擎,弹性规则引擎->Null,弹性规则引擎.depth==6
供应商韧性评估,供应商韧性评估->抗压能力测试,供应商韧性评估.depth==1
抗压能力测试,抗压能力测试->灾难恢复模拟,抗压能力测试.depth==2
灾难恢复模拟,灾难恢复模拟->混沌工程注入,灾难恢复模拟.depth==3
混沌工程注入,混沌工程注入->故障传播分析,混沌工程注入.depth==4
故障传播分析,故障传播分析->韧性评分模型,故障传播分析.depth==5
韧性评分模型,韧性评分模型->Null,韧性评分模型.depth==6