工具准备,工具准备->生成式设计引擎,工具准备.depth==0
生成式设计引擎,生成式设计引擎->需求语义解析,生成式设计引擎.depth==1
需求语义解析,需求语义解析->拓扑优化生成,需求语义解析.depth==2
需求语义解析,需求语义解析->知识增强生成,需求语义解析.depth==2
拓扑优化生成,拓扑优化生成->增材制造模拟,拓扑优化生成.depth==3
增材制造模拟,增材制造模拟->力学性能验证,增材制造模拟.depth==4
力学性能验证,力学性能验证->现场快速成型,力学性能验证.depth==5
现场快速成型,现场快速成型->自愈合涂层处理,现场快速成型.depth==6
自愈合涂层处理,自愈合涂层处理->工具生命周期追踪,自愈合涂层处理.depth==7
工具生命周期追踪,工具生命周期追踪->Null,工具生命周期追踪.depth==8
知识增强生成,知识增强生成->专利知识图谱查询,知识增强生成.depth==3
专利知识图谱查询,专利知识图谱查询->跨领域方案迁移,专利知识图谱查询.depth==4
跨领域方案迁移,跨领域方案迁移->合规性自动审查,跨领域方案迁移.depth==5
合规性自动审查,合规性自动审查->Null,合规性自动审查.depth==6