维修后验证,维修后验证->因果发现引擎,维修后验证.depth==0
因果发现引擎,因果发现引擎->干预效应建模,因果发现引擎.depth==1
干预效应建模,干预效应建模->反事实推理,干预效应建模.depth==2
干预效应建模,干预效应建模->时间序列因果,干预效应建模.depth==2
反事实推理,反事实推理->潜在结果空间探索,反事实推理.depth==3
潜在结果空间探索,潜在结果空间探索->混杂因子消除,潜在结果空间探索.depth==4
混杂因子消除,混杂因子消除->鲁棒性证明生成,混杂因子消除.depth==5
鲁棒性证明生成,鲁棒性证明生成->可解释性报告,鲁棒性证明生成.depth==6
可解释性报告,可解释性报告->动态监测策略优化,可解释性报告.depth==7
动态监测策略优化,动态监测策略优化->Null,动态监测策略优化.depth==8
时间序列因果,时间序列因果->格兰杰因果检验,时间序列因果.depth==3
格兰杰因果检验,格兰杰因果检验->滞后效应分析,格兰杰因果检验.depth==4
滞后效应分析,滞后效应分析->蝴蝶效应预警,滞后效应分析.depth==5
蝴蝶效应预警,蝴蝶效应预警->Null,蝴蝶效应预警.depth==6